ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
3962084,Private Room in Comfortable Home  ,4722846,https://www.airbnb.com/s/San-Francisco--CA?page=1,65,,Michael,Not Found,37.72855757845602,-122.44887599361512,No,Flexible,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,1,1,Real Bed,1,Not Found,Not Found,1,House,"
        Private room
         · "
33577,Potrero Hill Garden Suite,145258,https://www.airbnb.com/s/San-Francisco--CA?page=1,190,,Kepa,Not Found,37.76514606125046,-122.39750094268479,No,Strict,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$60,Not Found,No Charge,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,2:00 PM,11:00 AM,1,House,"
        Entire home/apt
         · "
200281,Quiet aptmt amazing Mission locatn ,979011,https://www.airbnb.com/s/San-Francisco--CA?page=1,120,,Apoorve,Not Found,37.76268369064297,-122.41943419755303,No,Moderate,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$50,$150,Not Found,Not Found,$700,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
        Entire home/apt
         · "
4122671,Artistic Room with Private Entrance,21387911,https://www.airbnb.com/s/San-Francisco--CA?page=1,100,,Kerry,Not Found,37.75577665343656,-122.38946063068468,No,Moderate,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$25,Not Found,No Charge,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
        Private room
         · "
8739,"Mission Sunshine, with Private Bath",7149,https://www.airbnb.com/s/San-Francisco--CA?page=1,120,,Ivan & Wendy,Not Found,37.75559189708064,-122.42365687240562,No,Moderate,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$50,Not Found,$20 / night after the first guest,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,3,1,Not Found,1,Not Found,Not Found,2,Apartment,"
        Private room
         · "
8134220,Peaceful Artist's Studio with Easel,42955583,https://www.airbnb.com/s/San-Francisco--CA?page=1,151,,Jesse,Not Found,37.79448377717656,-122.41736342410597,No,Flexible,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$879,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
        Entire home/apt
        
        
      "
6688374,Cute Pacific Height's Studio for 3,1474632,https://www.airbnb.com/s/San-Francisco--CA?page=1,225,,Kym,Not Found,37.785182407672515,-122.43745660178064,No,Flexible,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$10,$500,$5 / night after 2 guests,Not Found,$1339,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,3,1,Real Bed,0,12:00 PM (noon),11:00 AM,1,Apartment,"
        Entire home/apt
         · "
6596859,Large sunny Pacific Heights bedroom,34066720,https://www.airbnb.com/s/San-Francisco--CA?page=1,109,,Guy,Not Found,37.79508648407858,-122.4314453451432,No,Strict,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$30,$200,No Charge,Not Found,$840,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,3:00 PM,11:00 AM,1,House,"
        Private room
         · "
7984883,San Francisco's Ocean Beach!,21940469,https://www.airbnb.com/s/San-Francisco--CA?page=1,89,,Shero,Not Found,37.75671873053289,-122.50962856243274,No,Flexible,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$15,Not Found,$20 / night after the first guest,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,2:00 PM,10:00 AM,1,Apartment,"
        Private room
         · "
7482356,"Clean, private room in a big house",350088,https://www.airbnb.com/s/San-Francisco--CA?page=1,88,,Richard,Not Found,37.76943157690569,-122.44484012130901,No,Flexible,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$500,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,2,Airbed,1,Not Found,Not Found,1,House,"
        Private room
         · "
